category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
long,1,"I am currently reviewing a complex clinical case involving a patient with severe craniofacial asymmetry. We have just acquired a new set of high-resolution CBCT scans which are stored in the directory /clinical_data/patient_045/scans. For our pre-surgical planning, I need you to identify all relevant anatomical landmarks. Please use the specialized neural network models located in /software/ai_models/v4/ali_weights. It is crucial that the resulting coordinate files are exported directly to /clinical_data/patient_045/results/landmarks for further analysis by the surgical team.",ali_cbct,ali_cbct,True,"{""input"": ""/clinical_data/patient_045/scans"", ""dir_models"": ""/software/ai_models/v4/ali_weights"", ""output_dir"": ""/clinical_data/patient_045/results/landmarks""}","{""input"": ""/clinical_data/patient_045/scans"", ""dir_models"": ""/software/ai_models/v4/ali_weights"", ""output_dir"": ""/clinical_data/patient_045/results/landmarks""}","{""input"": ""/clinical_data/patient_045/scans"", ""dir_models"": ""/software/ai_models/v4/ali_weights"", ""output_dir"": ""/clinical_data/patient_045/results/landmarks""}",1.0,True,
long,2,"The orthodontics department has sent over several intraoral scans for a digital wax-up. Specifically, for the mesh file /ortho/capture/upper_arch_final.obj, we need to extract the precise dental landmarks for the central incisors, specifically teeth 8 and 9. We should be using the IOS-specific landmarking weights found in /shared/models/ios_ref. Once the processing is complete, please ensure the output data is saved within the /ortho/analysis/incisors directory to maintain our file organization standards.",ali_ios,ali_ios,True,"{""input"": ""/ortho/capture/upper_arch_final.obj"", ""teeth"": ""8 9"", ""dir_models"": ""/shared/models/ios_ref"", ""output_dir"": ""/ortho/analysis/incisors""}","{""input"": ""/ortho/capture/upper_arch_final.obj"", ""teeth"": ""8 9"", ""dir_models"": ""/shared/models/ios_ref"", ""output_dir"": ""/ortho/analysis/incisors""}","{""input"": ""/ortho/capture/upper_arch_final.obj"", ""dir_models"": ""/shared/models/ios_ref"", ""teeth"": [""8"", ""9""], ""output_dir"": ""/ortho/analysis/incisors""}",0.75,False,"'teeth': expected '8 9', got ['8', '9']"
long,3,"As part of our automated bone density study, we need to isolate the mandibular structure from the surrounding tissue in the volume located at /imaging/ct_vault/patient_x_head.nii.gz. I would like you to run the AMASSS segmentation pipeline, focusing exclusively on the Mandible structure. Please point the script to the nnU-Net model weights in /apps/amasss/models. Due to the size of these files, make sure the generated segmentation masks are placed in the dedicated output folder at /imaging/segmentations/mandibular_only.",amasss_cli,amasss_cli,True,"{""inputVolume"": ""/imaging/ct_vault/patient_x_head.nii.gz"", ""skullStructure"": ""Mandible"", ""modelDirectory"": ""/apps/amasss/models"", ""output_folder"": ""/imaging/segmentations/mandibular_only""}","{""inputVolume"": ""/imaging/ct_vault/patient_x_head.nii.gz"", ""skullStructure"": ""Mandible"", ""modelDirectory"": ""/apps/amasss/models"", ""output_folder"": ""/imaging/segmentations/mandibular_only""}","{""inputVolume"": ""/imaging/ct_vault/patient_x_head.nii.gz"", ""modelDirectory"": ""/apps/amasss/models"", ""skullStructure"": ""Mandible"", ""output_folder"": ""/imaging/segmentations/mandibular_only""}",1.0,True,
long,4,We are conducting a longitudinal study on bone remodeling and need to compare the baseline scan (T1) with the six-month follow-up (T2). The baseline data is located in /research/study_alpha/baseline_scans while the follow-up data is in /research/study_alpha/followup_6m. I need you to perform a rigid registration based on the Mandibular (MAND) alignment type. The transformation results and the registered volumes should be meticulously saved into /research/study_alpha/alignment_outputs/rigid_mand.,areg_cbct,areg_cbct,True,"{""t1_folder"": ""/research/study_alpha/baseline_scans"", ""t2_folder"": ""/research/study_alpha/followup_6m"", ""reg_type"": ""MAND"", ""output_folder"": ""/research/study_alpha/alignment_outputs/rigid_mand""}","{""t1_folder"": ""/research/study_alpha/baseline_scans"", ""t2_folder"": ""/research/study_alpha/followup_6m"", ""reg_type"": ""MAND"", ""output_folder"": ""/research/study_alpha/alignment_outputs/rigid_mand""}","{""t1_folder"": ""/research/study_alpha/baseline_scans"", ""t2_folder"": ""/research/study_alpha/followup_6m"", ""reg_type"": ""MAND"", ""output_folder"": ""/research/study_alpha/alignment_outputs/rigid_mand""}",1.0,True,
long,5,"For the digital dental alignment project, we need to register the surface mesh of the initial intraoral scan /lab/ios/initial_arch.stl with the target arch model /lab/ios/target_arch.stl. Please utilize the high-precision refinement model located in /lab/weights/ios_refine_v2. To ensure that the prosthetic team can access the files immediately, save the final aligned mesh directly into the folder /lab/ios/aligned_results.",areg_ios,areg_ios,True,"{""T1"": ""/lab/ios/initial_arch.stl"", ""T2"": ""/lab/ios/target_arch.stl"", ""model"": ""/lab/weights/ios_refine_v2"", ""output"": ""/lab/ios/aligned_results""}","{""T1"": ""/lab/ios/initial_arch.stl"", ""T2"": ""/lab/ios/target_arch.stl"", ""model"": ""/lab/weights/ios_refine_v2"", ""output"": ""/lab/ios/aligned_results""}","{""T1"": ""/lab/ios/initial_arch.stl"", ""T2"": ""/lab/ios/target_arch.stl"", ""output"": ""/lab/ios/aligned_results"", ""model"": ""/lab/weights/ios_refine_v2""}",1.0,True,
long,6,"The raw volumetric datasets in /storage/raw_cbct_dump are currently too large for our analysis pipeline. We need to perform an automated cropping procedure to focus on the regions of interest. I have prepared a JSON file containing all the necessary ROI coordinates at /storage/config/crop_roi_definitions.json. Please process the scans and save the cropped, smaller volumes into /storage/processed/cropped_scans, ensuring that the physical voxel dimensions are preserved during the operation.",autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/storage/raw_cbct_dump"", ""path_ROI_file"": ""/storage/config/crop_roi_definitions.json"", ""output_path"": ""/storage/processed/cropped_scans""}","{""scan_files_path"": ""/storage/raw_cbct_dump"", ""path_ROI_file"": ""/storage/config/crop_roi_definitions.json"", ""output_path"": ""/storage/processed/cropped_scans""}","{""scan_files_path"": ""/storage/raw_cbct_dump"", ""path_ROI_file"": ""/storage/config/crop_roi_definitions.json"", ""output_path"": ""/storage/processed/cropped_scans""}",1.0,True,
long,7,"Following the previous registration step, we now have a set of transformation matrices stored in /work/matrices/batch_01. I need you to apply these specific transformations to the patient volume /work/data/target_patient.nii.gz. You must use /work/data/atlas_reference.nii.gz as the spatial reference file for this operation. The resulting transformed volume needs to be exported to /work/output/transformed_data for final verification.",automatrix,automatrix,True,"{""input_patient"": ""/work/data/target_patient.nii.gz"", ""input_matrix"": ""/work/matrices/batch_01"", ""reference_file"": ""/work/data/atlas_reference.nii.gz"", ""output_folder"": ""/work/output/transformed_data""}","{""input_patient"": ""/work/data/target_patient.nii.gz"", ""input_matrix"": ""/work/matrices/batch_01"", ""reference_file"": ""/work/data/atlas_reference.nii.gz"", ""output_folder"": ""/work/output/transformed_data""}","{""input_patient"": ""/work/data/target_patient.nii.gz"", ""input_matrix"": ""/work/matrices/batch_01"", ""reference_file"": ""/work/data/atlas_reference.nii.gz"", ""output_folder"": ""/work/output/transformed_data""}",1.0,True,
long,8,"We have a large backlog of CBCT scans in the directory /radiology/archive/scans_2025 that require dental segmentation for a retrospective study. I need you to run a batch processing operation using our specialized dental segmentation models found in /ai/dental_seg/nnunet_weights. This is a large-scale task, so please ensure that all the generated tooth masks are organized and saved within the /radiology/outputs/segmented_teeth directory.",batchdentalseg,batchdentalseg,True,"{""input_folder"": ""/radiology/archive/scans_2025"", ""models_folder"": ""/ai/dental_seg/nnunet_weights"", ""output_folder"": ""/radiology/outputs/segmented_teeth""}","{""input_folder"": ""/radiology/archive/scans_2025"", ""models_folder"": ""/ai/dental_seg/nnunet_weights"", ""output_folder"": ""/radiology/outputs/segmented_teeth""}","{""input_folder"": ""/radiology/archive/scans_2025"", ""output_folder"": ""/radiology/outputs/segmented_teeth"", ""models_folder"": ""/ai/dental_seg/nnunet_weights""}",1.0,True,
long,9,"To improve our diagnostic workflow, we are implementing a new Mask-RCNN based segmentation for tooth structures. Please process the cohort of patients located in /hospital/data/patient_cohort_A. You should apply the CLIC model weights which are stored at /hospital/models/clic_mask_rcnn_v3. All individual segmentation maps should be stored in the /hospital/results/clic_segmentations folder for clinical review.",clic,clic,True,"{""input_path"": ""/hospital/data/patient_cohort_A"", ""model_folder"": ""/hospital/models/clic_mask_rcnn_v3"", ""output_dir"": ""/hospital/results/clic_segmentations""}","{""input_path"": ""/hospital/data/patient_cohort_A"", ""model_folder"": ""/hospital/models/clic_mask_rcnn_v3"", ""output_dir"": ""/hospital/results/clic_segmentations""}","{""input_path"": ""/hospital/data/patient_cohort_A"", ""model_folder"": ""/hospital/models/clic_mask_rcnn_v3"", ""output_dir"": ""/hospital/results/clic_segmentations""}",1.0,True,
long,10,"For our research into tooth morphology, we need to classify a large set of dental meshes based on their shape characteristics. The STL mesh files are located in /research/morphology/meshes. I want you to perform a classification task using the resnet architecture with a configuration for 3 distinct classes. Please use the shape analysis weights from /research/models/shapeaxi_tooth. The final classification reports and data should be saved to /research/morphology/classification_results.",docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/research/morphology/meshes"", ""nn"": ""resnet"", ""num_classes"": 3, ""output_dir"": ""/research/morphology/classification_results""}","{""input_dir"": ""/research/morphology/meshes"", ""nn"": ""resnet"", ""num_classes"": 3, ""model"": ""/research/models/shapeaxi_tooth"", ""output_dir"": ""/research/morphology/classification_results""}","{""input_dir"": ""/research/morphology/meshes"", ""output_dir"": ""/research/morphology/classification_results"", ""model"": ""/research/models/shapeaxi_tooth"", ""nn"": ""resnet"", ""num_classes"": 3}",1.0,False,Extra: model
