category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
portuguese,1,"Podes identificar os pontos de referência anatômicos nos volumes CBCT em /data/scans? Usa os modelos de /models/ali, guarda os resultados em /output e utiliza /tmp para ficheiros temporários. Não são DICOM.",ali_cbct,ali_cbct,True,"{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""lm_type"": ""1,2,3"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}","{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}","{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}",0.833,False,Missing: lm_type
portuguese,2,Preciso de extrair os marcos dentários para os dentes 8 e 9 no scan /data/ios_scan.stl. Usa os modelos em /weights/ios e guarda em /results/ios. Regista o processo em /results/ios/ali.log.,ali_ios,ali_ios,True,"{""input"": ""/data/ios_scan.stl"", ""dir_models"": ""/weights/ios"", ""lm_type"": ""cusp fossa"", ""teeth"": ""8 9"", ""output_dir"": ""/results/ios"", ""log_path"": ""/results/ios/ali.log""}","{""input"": ""/data/ios_scan.stl"", ""dir_models"": ""/weights/ios"", ""teeth"": ""8 9"", ""output_dir"": ""/results/ios"", ""log_path"": ""/results/ios/ali.log""}","{""input"": ""/data/ios_scan.stl"", ""dir_models"": ""/weights/ios"", ""teeth"": [""8"", ""9""], ""output_dir"": ""/results/ios"", ""log_path"": ""/results/ios/ali.log""}",0.667,False,"Missing: lm_type; 'teeth': expected '8 9', got ['8', '9']"
portuguese,3,"Executa uma segmentação automática da mandíbula e do maxilar nos scans em /data/volumes. Usa os modelos nnUNet de /models/amasss, coloca as máscaras em /output/seg e regista a operação em /output/seg/amasss.log.",amasss_cli,amasss_cli,True,"{""inputVolume"": ""/data/volumes"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/output/seg"", ""temp_fold"": ""/output/seg/amasss.log""}","{""inputVolume"": ""/data/volumes"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/output/seg"", ""temp_fold"": ""/output/seg/amasss.log""}","{""inputVolume"": ""/data/volumes"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/output/seg"", ""temp_fold"": ""/output/seg/amasss.log""}",1.0,True,
portuguese,4,Alinha os scans iniciais (T1) de /data/T1 com os scans de acompanhamento (T2) em /data/T2 usando um registo de tipo MAND. Guarda o alinhamento em /data/reg_out e usa /data/tmp para o cache. Entrada não-DICOM.,areg_cbct,areg_cbct,True,"{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/reg_out"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/reg_out"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/reg_out"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}",1.0,True,
portuguese,5,"Realiza o registo das superfícies dentárias entre /scans/T1 e /scans/T2. Utiliza o modelo de refinamento em /models/refine, guarda o resultado em /scans/aligned e cria um log em /scans/aligned/reg.log.",areg_ios,areg_ios,True,"{""T1"": ""/scans/T1"", ""T2"": ""/scans/T2"", ""output"": ""/scans/aligned"", ""model"": ""/models/refine"", ""log_path"": ""/scans/aligned/reg.log"", ""areg_mode"": ""Auto_IOS""}","{""T1"": ""/scans/T1"", ""T2"": ""/scans/T2"", ""output"": ""/scans/aligned"", ""model"": ""/models/refine"", ""log_path"": ""/scans/aligned/reg.log""}","{""T1"": ""/scans/T1"", ""T2"": ""/scans/T2"", ""output"": ""/scans/aligned"", ""model"": ""/models/refine"", ""log_path"": ""/scans/aligned/reg.log""}",0.833,False,Missing: areg_mode
portuguese,6,Recorta as regiões de interesse dos volumes em /data/raw usando o ficheiro de marcadores ROI /data/roi.json. Guarda os ficheiros recortados em /data/cropped e mantém as dimensões físicas. Log: /data/cropped/log.txt.,autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/data/raw"", ""path_ROI_file"": ""/data/roi.json"", ""output_path"": ""/data/cropped"", ""box_Size"": true, ""logPath"": ""/data/cropped/log.txt""}","{""scan_files_path"": ""/data/raw"", ""path_ROI_file"": ""/data/roi.json"", ""output_path"": ""/data/cropped"", ""box_Size"": true, ""logPath"": ""/data/cropped/log.txt""}","{""scan_files_path"": ""/data/raw"", ""path_ROI_file"": ""/data/roi.json"", ""output_path"": ""/data/cropped"", ""box_Size"": true, ""logPath"": ""/data/cropped/log.txt""}",1.0,True,
portuguese,7,Aplica as matrizes de transformação de /data/matrices ao scan /data/patient.nii.gz. Usa /data/ref.nii.gz como referência e guarda o volume transformado em /data/output. Regista a transferência em /data/output/matrix.log.,automatrix,automatrix,True,"{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/data/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/matrix.log"", ""fromAreg"": false, ""is_seg"": false}","{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/data/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/matrix.log""}","{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/data/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/matrix.log""}",0.714,False,Missing: fromAreg; Missing: is_seg
portuguese,8,"Inicia uma segmentação dentária por lote na pasta /data/cbct_scans. Usa os pesos do modelo em /models/dental_weights, guarda em /data/masks e regista o log em /data/masks/batch.log.",batchdentalseg,batchdentalseg,True,"{""input_folder"": ""/data/cbct_scans"", ""output_folder"": ""/data/masks"", ""models_folder"": ""/models/dental_weights"", ""log_path"": ""/data/masks/batch.log""}","{""input_folder"": ""/data/cbct_scans"", ""models_folder"": ""/models/dental_weights"", ""output_folder"": ""/data/masks"", ""log_path"": ""/data/masks/batch.log""}","{""input_folder"": ""/data/cbct_scans"", ""output_folder"": ""/data/masks"", ""models_folder"": ""/models/dental_weights"", ""log_path"": ""/data/masks/batch.log""}",1.0,True,
portuguese,9,Usa a ferramenta CLIC para segmentar as estruturas dentárias em /data/patients. Os modelos estão em /models/clic e as máscaras de saída irão para /data/clic_masks.,clic,clic,True,"{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/clic_masks""}","{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/clic_masks""}","{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/clic_masks""}",1.0,True,
portuguese,10,Analisa a morfologia das malhas em /data/meshes. Efetua uma classificação com 3 classes via modelo resnet. Guarda os resultados em /data/shape_results e log em /data/shape_results/log.txt.,docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/data/meshes"", ""output_dir"": ""/data/shape_results"", ""data_type"": ""mesh"", ""task"": ""classification"", ""model"": ""tooth_model"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/data/shape_results/log.txt""}","{""input_dir"": ""/data/meshes"", ""task"": ""classification"", ""num_classes"": 3, ""nn"": ""resnet"", ""output_dir"": ""/data/shape_results"", ""log_path"": ""/data/shape_results/log.txt""}","{""input_dir"": ""/data/meshes"", ""output_dir"": ""/data/shape_results"", ""task"": ""classification"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/data/shape_results/log.txt""}",0.75,False,Missing: data_type; Missing: model
