category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
normal vocab,1,Segment the mandible and maxilla from CBCT scans in /patients/study_a using nnUNet models at /models/amasss. Output to /results/segmentations and temp files in /tmp/amasss,amasss_cli,amasss_cli,True,"{""inputVolume"": ""/patients/study_a"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/results/segmentations"", ""temp_fold"": ""/tmp/amasss""}","{""inputVolume"": ""/patients/study_a"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/results/segmentations"", ""temp_fold"": ""/tmp/amasss""}","{""inputVolume"": ""/patients/study_a"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/results/segmentations"", ""temp_fold"": ""/tmp/amasss""}",1.0,True,
normal vocab,2,"Identify landmarks on DICOM CBCT scans in /data/dicom_folder. Use model folder /ai/models/ali. Detect points 1,5,10. Save to /output/landmarks and use /tmp/work for processing. Set DCMInput to true.",ali_cbct,ali_cbct,True,"{""input"": ""/data/dicom_folder"", ""dir_models"": ""/ai/models/ali"", ""lm_type"": [""1"", ""5"", ""10""], ""output_dir"": ""/output/landmarks"", ""temp_fold"": ""/tmp/work"", ""DCMInput"": true}","{""input"": ""/data/dicom_folder"", ""dir_models"": ""/ai/models/ali"", ""lm_type"": ""1,5,10"", ""output_dir"": ""/output/landmarks"", ""temp_fold"": ""/tmp/work"", ""DCMInput"": true}","{""input"": ""/data/dicom_folder"", ""dir_models"": ""/ai/models/ali"", ""lm_type"": [""1"", ""5"", ""10""], ""output_dir"": ""/output/landmarks"", ""temp_fold"": ""/tmp/work"", ""DCMInput"": true}",1.0,True,
normal vocab,3,Run ALI IOS on mesh /meshes/scan01.stl. Models: /models/ios_v2. Detect landmarks: 11 12 13 14. Target teeth: 18 19 20. Output: /processed/ios. Log: /logs/ios_01.log,ali_ios,ali_ios,True,"{""input"": ""/meshes/scan01.stl"", ""dir_models"": ""/models/ios_v2"", ""lm_type"": [""11"", ""12"", ""13"", ""14""], ""teeth"": [""18"", ""19"", ""20""], ""output_dir"": ""/processed/ios"", ""log_path"": ""/logs/ios_01.log""}","{""input"": ""/meshes/scan01.stl"", ""dir_models"": ""/models/ios_v2"", ""lm_type"": ""11 12 13 14"", ""teeth"": ""18 19 20"", ""output_dir"": ""/processed/ios"", ""log_path"": ""/logs/ios_01.log""}","{""input"": ""/meshes/scan01.stl"", ""dir_models"": ""/models/ios_v2"", ""lm_type"": [""11"", ""12"", ""13"", ""14""], ""teeth"": [""18"", ""19"", ""20""], ""output_dir"": ""/processed/ios"", ""log_path"": ""/logs/ios_01.log""}",1.0,True,
normal vocab,4,Perform maxilla registration (MAX) between T1 /data/T1 and T2 /data/T2. Results to /output/reg. Temp folder /tmp/reg. Input is DICOM.,areg_cbct,areg_cbct,True,"{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAX"", ""output_folder"": ""/output/reg"", ""DCMInput"": true, ""temp_folder"": ""/tmp/reg"", ""mask_folder_t1"": ""None""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAX"", ""output_folder"": ""/output/reg"", ""DCMInput"": true, ""temp_folder"": ""/tmp/reg""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAX"", ""output_folder"": ""/output/reg"", ""DCMInput"": true, ""temp_folder"": ""/tmp/reg""}",0.857,False,Missing: mask_folder_t1
normal vocab,5,Register IOS surfaces from /ios/baseline to /ios/followup. Use model /models/refinement. Save to /ios/aligned. Log at /logs/reg_ios.txt. Mode: Auto_IOS.,areg_ios,areg_ios,True,"{""T1"": ""/ios/baseline"", ""T2"": ""/ios/followup"", ""output"": ""/ios/aligned"", ""model"": ""/models/refinement"", ""log_path"": ""/logs/reg_ios.txt"", ""areg_mode"": ""Auto_IOS""}","{""T1"": ""/ios/baseline"", ""T2"": ""/ios/followup"", ""output"": ""/ios/aligned"", ""model"": ""/models/refinement"", ""log_path"": ""/logs/reg_ios.txt"", ""areg_mode"": ""Auto_IOS""}","{""T1"": ""/ios/baseline"", ""T2"": ""/ios/followup"", ""output"": ""/ios/aligned"", ""model"": ""/models/refinement"", ""log_path"": ""/logs/reg_ios.txt"", ""areg_mode"": ""Auto_IOS""}",1.0,True,
normal vocab,6,Crop 3D volumes in /scans using markers from /markers/points.mrk.json. Output to /scans/cropped. Box size: true. Log to /logs/crop.log,autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/scans"", ""path_ROI_file"": ""/markers/points.mrk.json"", ""output_path"": ""/scans/cropped"", ""box_Size"": true, ""logPath"": ""/logs/crop.log""}","{""scan_files_path"": ""/scans"", ""path_ROI_file"": ""/markers/points.mrk.json"", ""output_path"": ""/scans/cropped"", ""box_Size"": true, ""logPath"": ""/logs/crop.log""}","{""scan_files_path"": ""/scans"", ""path_ROI_file"": ""/markers/points.mrk.json"", ""output_path"": ""/scans/cropped"", ""box_Size"": true, ""logPath"": ""/logs/crop.log""}",1.0,True,
normal vocab,7,Apply transformation matrix from /matrices to patient scan /data/patient.nii.gz. Reference: /data/ref.nii.gz. Output: /data/out. Log: /logs/matrix.log. is_seg: false.,automatrix,automatrix,True,"{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""fromAreg"": false, ""output_folder"": ""/data/out"", ""log_path"": ""/logs/matrix.log"", ""is_seg"": false}","{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/out"", ""log_path"": ""/logs/matrix.log"", ""is_seg"": false}","{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/out"", ""log_path"": ""/logs/matrix.log"", ""is_seg"": false}",0.857,False,Missing: fromAreg
normal vocab,8,Perform Mask-RCNN segmentation on CBCTs in /in_scans with model /models/clic. Output to /out_segs.,clic,clic,True,"{""input_path"": ""/in_scans"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/out_segs""}","{""input_path"": ""/in_scans"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/out_segs""}","{""input_path"": ""/in_scans"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/out_segs""}",1.0,True,
normal vocab,9,"Shape analysis on VTK meshes in /meshes. Output: /analysis. Data type: surface, Task: classification, Model: my_model, NN: resnet, Classes: 2. Log: /logs/shape.log",docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/meshes"", ""output_dir"": ""/analysis"", ""data_type"": ""surface"", ""task"": ""classification"", ""model"": ""my_model"", ""nn"": ""resnet"", ""num_classes"": 2, ""log_path"": ""/logs/shape.log""}","{""input_dir"": ""/meshes"", ""output_dir"": ""/analysis"", ""data_type"": ""surface"", ""task"": ""classification"", ""model"": ""my_model"", ""nn"": ""resnet"", ""num_classes"": 2, ""log_path"": ""/logs/shape.log""}","{""input_dir"": ""/meshes"", ""output_dir"": ""/analysis"", ""data_type"": ""surface"", ""task"": ""classification"", ""model"": ""my_model"", ""nn"": ""resnet"", ""num_classes"": 2, ""log_path"": ""/logs/shape.log""}",1.0,True,
normal vocab,10,Generate MedX Dashboard from summaries in /summaries/output. Save HTML to /dashboards/v1.,medx_dashboard,medx_dashboard,True,"{""summary_folder"": ""/summaries/output"", ""output_folder"": ""/dashboards/v1""}","{""summary_folder"": ""/summaries/output"", ""output_folder"": ""/dashboards/v1""}","{""summary_folder"": ""/summaries/output"", ""output_folder"": ""/dashboards/v1""}",1.0,True,
normal vocab,11,Summarize medical notes in /notes using t5-base model. Output to /notes/summaries. Log to /logs/sum.log,medx_summarize,medx_summarize,True,"{""input_notes"": ""/notes"", ""input_model"": ""t5-base"", ""output_folder"": ""/notes/summaries"", ""log_path"": ""/logs/sum.log""}","{""input_notes"": ""/notes"", ""input_model"": ""t5-base"", ""output_folder"": ""/notes/summaries"", ""log_path"": ""/logs/sum.log""}","{""input_notes"": ""/notes"", ""input_model"": ""t5-base"", ""output_folder"": ""/notes/summaries"", ""log_path"": ""/logs/sum.log""}",1.0,True,
normal vocab,12,Approximate MRI from /mri_data to CBCT in /cbct_data. Save results to /mri2cbct/approx.,mri2cbct_approx,mri2cbct_approx,True,"{""cbct_folder"": ""/cbct_data"", ""mri_folder"": ""/mri_data"", ""output_folder"": ""/mri2cbct/approx""}","{""cbct_folder"": ""/cbct_data"", ""mri_folder"": ""/mri_data"", ""output_folder"": ""/mri2cbct/approx""}","{""cbct_folder"": ""/cbct_data"", ""mri_folder"": ""/mri_data"", ""output_folder"": ""/mri2cbct/approx""}",1.0,True,
normal vocab,13,Register MRI /mri_vol to CBCT /cbct_vol with mask /masks/cbct_mask.nii.gz. Output to /registered_mri.,mri2cbct_reg,mri2cbct_reg,True,"{""output_folder"": ""/registered_mri"", ""mri_folder"": ""/mri_vol"", ""cbct_folder"": ""/cbct_vol"", ""cbct_label2"": ""/masks/cbct_mask.nii.gz""}","{""mri_folder"": ""/mri_vol"", ""cbct_folder"": ""/cbct_vol"", ""cbct_label2"": ""/masks/cbct_mask.nii.gz"", ""output_folder"": ""/registered_mri""}","{""output_folder"": ""/registered_mri"", ""mri_folder"": ""/mri_vol"", ""cbct_folder"": ""/cbct_vol"", ""cbct_label2"": ""/masks/cbct_mask.nii.gz""}",1.0,True,
normal vocab,14,Crop left-right regions for MRI /mri and CBCT /cbct using segmentation /seg. Save to /cropped_asymmetry.,mri2cbct_lr_crop,mri2cbct_lr_crop,True,"{""input_folder_CBCT"": ""/cbct"", ""input_folder_MRI"": ""/mri"", ""input_folder_Seg"": ""/seg"", ""output_folder"": ""/cropped_asymmetry""}","{""input_folder_CBCT"": ""/cbct"", ""input_folder_MRI"": ""/mri"", ""input_folder_Seg"": ""/seg"", ""output_folder"": ""/cropped_asymmetry""}","{""input_folder_CBCT"": ""/cbct"", ""input_folder_MRI"": ""/mri"", ""input_folder_Seg"": ""/seg"", ""output_folder"": ""/cropped_asymmetry""}",1.0,True,
normal vocab,15,"Orient and center MRI scans in /raw_mri. Output to /centered_mri. Spacing: 1.5. Direction: '-1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0'",mri2cbct_orient_center,mri2cbct_orient_center,True,"{""input_folder"": ""/raw_mri"", ""direction"": ""-1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0"", ""output_folder"": ""/centered_mri"", ""acquisition_z_spacing"": 1.5}","{""input_folder"": ""/raw_mri"", ""direction"": ""-1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0"", ""acquisition_z_spacing"": 1.5, ""output_folder"": ""/centered_mri""}","{""input_folder"": ""/raw_mri"", ""direction"": ""-1.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 1.0"", ""output_folder"": ""/centered_mri"", ""acquisition_z_spacing"": 1.5}",1.0,True,
normal vocab,16,"Resample CBCT /cbct_in and MRI /mri_in (including T2 and segments) to size [256, 256, 128] with spacing [0.5, 0.5, 0.5]. Output to /resampled.",mri2cbct_resample,mri2cbct_resample,True,"{""input_folder_MRI"": ""/mri_in"", ""input_folder_T2_MRI"": ""/mri_in/T2"", ""input_folder_CBCT"": ""/cbct_in"", ""input_folder_T2_CBCT"": ""/cbct_in/T2"", ""input_folder_Seg"": ""/mri_in/Seg"", ""input_folder_T2_Seg"": ""/mri_in/Seg_T2"", ""output_folder"": ""/resampled"", ""resample_size"": [256, 256, 128], ""spacing"": [0.5, 0.5, 0.5], ""center"": false}","{""input_folder_MRI"": ""/mri_in"", ""input_folder_CBCT"": ""/cbct_in"", ""output_folder"": ""/resampled"", ""resample_size"": [256, 256, 128], ""spacing"": [0.5, 0.5, 0.5]}","{""input_folder_MRI"": ""/mri_in"", ""input_folder_CBCT"": ""/cbct_in"", ""output_folder"": ""/resampled"", ""resample_size"": ""[256, 256, 128]"", ""spacing"": ""[0.5, 0.5, 0.5]""}",0.5,False,Missing: input_folder_T2_MRI; Missing: input_folder_T2_CBCT; Missing: input_folder_Seg; Missing: input_folder_T2_Seg; Missing: center
normal vocab,17,Crop TMJ region using nnUNet model /models/tmj from CBCT /data/cbct and MRI /data/mri with segmentations /data/seg. Output to /tmj_out. Log to /tmp/tmj.log,mri2cbct_tmj_crop,mri2cbct_tmj_crop,True,"{""cbct_folder"": ""/data/cbct"", ""mri_folder"": ""/data/mri"", ""seg_folder"": ""/data/seg"", ""output_folder"": ""/tmj_out"", ""model_folder"": ""/models/tmj"", ""tmp_folder"": ""/tmp/tmj.log""}","{""cbct_folder"": ""/data/cbct"", ""mri_folder"": ""/data/mri"", ""seg_folder"": ""/data/seg"", ""output_folder"": ""/tmj_out"", ""model_folder"": ""/models/tmj"", ""tmp_folder"": ""/tmp/tmj.log""}","{""cbct_folder"": ""/data/cbct"", ""mri_folder"": ""/data/mri"", ""seg_folder"": ""/data/seg"", ""output_folder"": ""/tmj_out"", ""model_folder"": ""/models/tmj"", ""tmp_folder"": ""/tmp/tmj.log""}",1.0,True,
normal vocab,18,Preprocess CBCT scans in /raw for ASO. Use model /models/aso_pre. Output to /preprocessed. Temp log: /tmp/aso.log. DCMInput: true.,pre_aso_cbct,pre_aso_cbct,True,"{""input"": ""/raw"", ""output_folder"": ""/preprocessed"", ""model_folder"": ""/models/aso_pre"", ""temp_folder"": ""/tmp/aso.log"", ""DCMInput"": true}","{""input"": ""/raw"", ""output_folder"": ""/preprocessed"", ""model_folder"": ""/models/aso_pre"", ""temp_folder"": ""/tmp/aso.log"", ""DCMInput"": true}","{""input"": ""/raw"", ""output_folder"": ""/preprocessed"", ""model_folder"": ""/models/aso_pre"", ""temp_folder"": ""/tmp/aso.log"", ""DCMInput"": true}",1.0,True,
