category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
spanish,1,"Detecta los puntos de referencia anatómicos en los volúmenes CBCT en /data/scans. Usa los modelos de /models/ali, guarda en /output y usa /tmp para archivos temporales. No son archivos DICOM.",ali_cbct,ali_cbct,True,"{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""lm_type"": ""1,2,3"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}","{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}","{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}",0.833,False,Missing: lm_type
spanish,2,Extrae los landmarks dentales para los dientes 8 y 9 en el escaneo /data/ios_scan.stl. Usa los modelos en /weights/ios y guarda en /results/ios. Registra el proceso en /results/ios/ali.log.,ali_ios,ali_ios,True,"{""input"": ""/data/ios_scan.stl"", ""dir_models"": ""/weights/ios"", ""lm_type"": ""cusp fossa"", ""teeth"": ""8 9"", ""output_dir"": ""/results/ios"", ""log_path"": ""/results/ios/ali.log""}","{""input"": ""/data/ios_scan.stl"", ""dir_models"": ""/weights/ios"", ""teeth"": ""8 9"", ""output_dir"": ""/results/ios"", ""log_path"": ""/results/ios/ali.log""}","{""input"": ""/data/ios_scan.stl"", ""dir_models"": ""/weights/ios"", ""teeth"": [""8"", ""9""], ""output_dir"": ""/results/ios"", ""log_path"": ""/results/ios/ali.log""}",0.667,False,"Missing: lm_type; 'teeth': expected '8 9', got ['8', '9']"
spanish,3,"Realiza una segmentación automática de la mandíbula y el maxilar en los escaneos de /data/volumes. Usa los modelos nnUNet de /models/amasss, guarda las máscaras en /output/seg y registra la operación en /output/seg/amasss.log.",amasss_cli,amasss_cli,True,"{""inputVolume"": ""/data/volumes"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/output/seg"", ""temp_fold"": ""/output/seg/amasss.log""}","{""inputVolume"": ""/data/volumes"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/output/seg"", ""temp_fold"": ""/output/seg/amasss.log""}","{""inputVolume"": ""/data/volumes"", ""modelDirectory"": ""/models/amasss"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/output/seg"", ""temp_fold"": ""/output/seg/amasss.log""}",1.0,True,
spanish,4,Alinea los escaneos iniciales (T1) de /data/T1 con los de seguimiento (T2) en /data/T2 usando registro tipo MAND. Guarda el alineamiento en /data/reg_out y usa /data/tmp para el caché. Entrada no-DICOM.,areg_cbct,areg_cbct,True,"{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/reg_out"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/reg_out"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/reg_out"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}",1.0,True,
spanish,5,"Lleva a cabo el registro de superficies dentales entre /scans/T1 y /scans/T2. Utiliza el modelo de refinamiento en /models/refine, guarda el resultado en /scans/aligned y crea un log en /scans/aligned/reg.log.",areg_ios,areg_ios,True,"{""T1"": ""/scans/T1"", ""T2"": ""/scans/T2"", ""output"": ""/scans/aligned"", ""model"": ""/models/refine"", ""log_path"": ""/scans/aligned/reg.log"", ""areg_mode"": ""Auto_IOS""}","{""T1"": ""/scans/T1"", ""T2"": ""/scans/T2"", ""output"": ""/scans/aligned"", ""model"": ""/models/refine"", ""log_path"": ""/scans/aligned/reg.log""}","{""T1"": ""/scans/T1"", ""T2"": ""/scans/T2"", ""output"": ""/scans/aligned"", ""model"": ""/models/refine"", ""log_path"": ""/scans/aligned/reg.log""}",0.833,False,Missing: areg_mode
spanish,6,Recorta las regiones de interés de los volúmenes en /data/raw usando el archivo de marcadores ROI /data/roi.json. Guarda los archivos recortados en /data/cropped y mantén las dimensiones físicas. Log: /data/cropped/log.txt.,autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/data/raw"", ""path_ROI_file"": ""/data/roi.json"", ""output_path"": ""/data/cropped"", ""box_Size"": true, ""logPath"": ""/data/cropped/log.txt""}","{""scan_files_path"": ""/data/raw"", ""path_ROI_file"": ""/data/roi.json"", ""output_path"": ""/data/cropped"", ""box_Size"": true, ""logPath"": ""/data/cropped/log.txt""}","{""scan_files_path"": ""/data/raw"", ""path_ROI_file"": ""/data/roi.json"", ""output_path"": ""/data/cropped"", ""box_Size"": true, ""logPath"": ""/data/cropped/log.txt""}",1.0,True,
spanish,7,Aplica las matrices de transformación de /data/matrices al escaneo /data/patient.nii.gz. Usa /data/ref.nii.gz como referencia y guarda el volumen transformado en /data/output. Log en /data/output/matrix.log.,automatrix,automatrix,True,"{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/data/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/matrix.log"", ""fromAreg"": false, ""is_seg"": false}","{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/data/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/matrix.log""}","{""input_patient"": ""/data/patient.nii.gz"", ""input_matrix"": ""/data/matrices"", ""reference_file"": ""/data/ref.nii.gz"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/matrix.log""}",0.714,False,Missing: fromAreg; Missing: is_seg
spanish,8,"Ejecuta una segmentación dental por lotes en la carpeta /data/cbct_scans. Usa los pesos del modelo en /models/dental_weights, guarda en /data/masks y registra el log en /data/masks/batch.log.",batchdentalseg,batchdentalseg,True,"{""input_folder"": ""/data/cbct_scans"", ""output_folder"": ""/data/masks"", ""models_folder"": ""/models/dental_weights"", ""log_path"": ""/data/masks/batch.log""}","{""input_folder"": ""/data/cbct_scans"", ""models_folder"": ""/models/dental_weights"", ""output_folder"": ""/data/masks"", ""log_path"": ""/data/masks/batch.log""}","{""input_folder"": ""/data/cbct_scans"", ""output_folder"": ""/data/masks"", ""models_folder"": ""/models/dental_weights"", ""log_path"": ""/data/masks/batch.log""}",1.0,True,
spanish,9,Usa la herramienta CLIC para segmentar las estructuras dentales en /data/patients. Los modelos están en /models/clic y las máscaras de salida irán a /data/clic_masks.,clic,clic,True,"{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/clic_masks""}","{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/clic_masks""}","{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/clic_masks""}",1.0,True,
spanish,10,Analiza la morfología de las mallas en /data/meshes. Realiza una clasificación de 3 clases con el modelo resnet. Guarda los resultados en /data/shape_results y el log en /data/shape_results/log.txt.,docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/data/meshes"", ""output_dir"": ""/data/shape_results"", ""data_type"": ""mesh"", ""task"": ""classification"", ""model"": ""tooth_model"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/data/shape_results/log.txt""}","{""input_dir"": ""/data/meshes"", ""task"": ""classification"", ""num_classes"": 3, ""nn"": ""resnet"", ""output_dir"": ""/data/shape_results"", ""log_path"": ""/data/shape_results/log.txt""}","{""input_dir"": ""/data/meshes"", ""output_dir"": ""/data/shape_results"", ""task"": ""classification"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/data/shape_results/log.txt""}",0.75,False,Missing: data_type; Missing: model
