category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
beginners,1,"Can you find the dots on the bone scans in /data/scans? Use the models in /models/ali and save them to /output. My computer needs /tmp for a second and these are simple files, not DICOM.",ali_cbct,ali_cbct,True,"{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""lm_type"": ""1,2,3"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}","{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}","{""input"": ""/data/scans"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/output"", ""temp_fold"": ""/tmp"", ""DCMInput"": false}",0.833,False,Missing: lm_type
beginners,2,I need to mark teeth 8 and 9 on the picture at /data/tooth.stl. Use the /models/ios folder and save the result to /output/marks. Please write down what happened in /output/log.txt.,ali_ios,ali_ios,True,"{""input"": ""/data/tooth.stl"", ""dir_models"": ""/models/ios"", ""lm_type"": ""cusp fossa"", ""teeth"": ""8 9"", ""output_dir"": ""/output/marks"", ""log_path"": ""/output/log.txt""}","{""input"": ""/data/tooth.stl"", ""dir_models"": ""/models/ios"", ""teeth"": ""8 9"", ""output_dir"": ""/output/marks"", ""log_path"": ""/output/log.txt""}","{""input"": ""/data/tooth.stl"", ""dir_models"": ""/models/ios"", ""teeth"": [""8"", ""9""], ""output_dir"": ""/output/marks"", ""log_path"": ""/output/log.txt""}",0.667,False,"Missing: lm_type; 'teeth': expected '8 9', got ['8', '9']"
beginners,3,Please color in the top and bottom jaw from the scans in /data/cbct. Use the AI in /models/nnunet and put the new files in /data/results. Save the log to /data/results/info.log.,amasss_cli,amasss_cli,True,"{""inputVolume"": ""/data/cbct"", ""modelDirectory"": ""/models/nnunet"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/data/results"", ""temp_fold"": ""/data/results/info.log""}","{""inputVolume"": ""/data/cbct"", ""modelDirectory"": ""/models/nnunet"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/data/results"", ""temp_fold"": ""/data/results/info.log""}","{""inputVolume"": ""/data/cbct"", ""modelDirectory"": ""/models/nnunet"", ""skullStructure"": ""Mandible,Maxilla"", ""output_folder"": ""/data/results"", ""temp_fold"": ""/data/results/info.log""}",1.0,True,
beginners,4,Can you line up the old scans in /data/T1 with the new ones in /data/T2 for the bottom jaw? Put them in /data/lined_up and use /data/tmp for the work. These are not DICOM.,areg_cbct,areg_cbct,True,"{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/lined_up"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/lined_up"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/data/lined_up"", ""DCMInput"": false, ""temp_folder"": ""/data/tmp""}",1.0,True,
beginners,5,"Match the first mouth scan in /data/pre with the second one in /data/post. Use the helper model at /models/refine, save it to /data/matched, and log it to /data/matched/log.txt.",areg_ios,areg_ios,True,"{""T1"": ""/data/pre"", ""T2"": ""/data/post"", ""output"": ""/data/matched"", ""model"": ""/models/refine"", ""log_path"": ""/data/matched/log.txt"", ""areg_mode"": ""Auto_IOS""}","{""T1"": ""/data/pre"", ""T2"": ""/data/post"", ""output"": ""/data/matched"", ""model"": ""/models/refine"", ""log_path"": ""/data/matched/log.txt""}","{""T1"": ""/data/pre"", ""T2"": ""/data/post"", ""output"": ""/data/matched"", ""model"": ""/models/refine"", ""log_path"": ""/data/matched/log.txt""}",0.833,False,Missing: areg_mode
beginners,6,Cut out the small boxes from the big scans in /data/scans using the marker file /data/box.json. Save the small pieces in /data/cutouts and log to /data/cutouts/log.txt.,autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/data/scans"", ""path_ROI_file"": ""/data/box.json"", ""output_path"": ""/data/cutouts"", ""box_Size"": true, ""logPath"": ""/data/cutouts/log.txt""}","{""scan_files_path"": ""/data/scans"", ""path_ROI_file"": ""/data/box.json"", ""output_path"": ""/data/cutouts"", ""logPath"": ""/data/cutouts/log.txt""}","{""scan_files_path"": ""/data/scans"", ""path_ROI_file"": ""/data/box.json"", ""output_path"": ""/data/cutouts"", ""logPath"": ""/data/cutouts/log.txt""}",0.8,False,Missing: box_Size
beginners,7,Move the scan /data/patient.nii using the directions in /data/tfm. Use /data/ref.nii as the map and save to /data/output. Keep a log at /data/output/run.log.,automatrix,automatrix,True,"{""input_patient"": ""/data/patient.nii"", ""input_matrix"": ""/data/tfm"", ""reference_file"": ""/data/ref.nii"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/run.log"", ""fromAreg"": false, ""is_seg"": false}","{""input_patient"": ""/data/patient.nii"", ""input_matrix"": ""/data/tfm"", ""reference_file"": ""/data/ref.nii"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/run.log""}","{""input_patient"": ""/data/patient.nii"", ""input_matrix"": ""/data/tfm"", ""reference_file"": ""/data/ref.nii"", ""output_folder"": ""/data/output"", ""log_path"": ""/data/output/run.log""}",0.714,False,Missing: fromAreg; Missing: is_seg
beginners,8,"Find the teeth in all the files in /data/scans at once. Use the models in /models/weights, save the results to /data/out, and log it to /data/out/batch.log.",batchdentalseg,batchdentalseg,True,"{""input_folder"": ""/data/scans"", ""output_folder"": ""/data/out"", ""models_folder"": ""/models/weights"", ""log_path"": ""/data/out/batch.log""}","{""input_folder"": ""/data/scans"", ""models_folder"": ""/models/weights"", ""output_folder"": ""/data/out"", ""log_path"": ""/data/out/batch.log""}","{""input_folder"": ""/data/scans"", ""output_folder"": ""/data/out"", ""models_folder"": ""/models/weights"", ""log_path"": ""/data/out/batch.log""}",1.0,True,
beginners,9,Use the CLIC tool to find teeth in the scans at /data/patients. Use the model folder /models/clic and save the masks to /data/masks.,clic,clic,True,"{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/masks""}","{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/masks""}","{""input_path"": ""/data/patients"", ""model_folder"": ""/models/clic"", ""output_dir"": ""/data/masks""}",1.0,True,
beginners,10,Check the tooth shapes in /data/meshes. Use the classification mode with 3 groups and the resnet model. Save to /data/shapes and log to /data/shapes/log.txt.,docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/data/meshes"", ""output_dir"": ""/data/shapes"", ""data_type"": ""mesh"", ""task"": ""classification"", ""model"": ""tooth_model"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/data/shapes/log.txt""}","{""input_dir"": ""/data/meshes"", ""output_dir"": ""/data/shapes"", ""task"": ""classification"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/data/shapes/log.txt""}","{""input_dir"": ""/data/meshes"", ""output_dir"": ""/data/shapes"", ""task"": ""classification"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/data/shapes/log.txt""}",0.75,False,Missing: data_type; Missing: model
