category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
short,1,Detect landmarks in /data/cbct using /models/ali. Output to /out_dir.,ali_cbct,ali_cbct,True,"{""input"": ""/data/cbct"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/out_dir""}","{""input"": ""/data/cbct"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/out_dir""}","{""input"": ""/data/cbct"", ""dir_models"": ""/models/ali"", ""output_dir"": ""/out_dir""}",1.0,True,
short,2,Extract landmarks for teeth 8 and 9 from /scans/ios.obj to /results.,ali_ios,ali_ios,True,"{""input"": ""/scans/ios.obj"", ""teeth"": ""8 9"", ""output_dir"": ""/results""}","{""input"": ""/scans/ios.obj"", ""teeth"": ""8 9"", ""output_dir"": ""/results""}","{""input"": ""/scans/ios.obj"", ""teeth"": [""8"", ""9""], ""output_dir"": ""/results""}",0.667,False,"'teeth': expected '8 9', got ['8', '9']"
short,3,Segment Mandible from /vol.nii.gz using /weights/amasss. Save to /output.,amasss_cli,amasss_cli,True,"{""inputVolume"": ""/vol.nii.gz"", ""skullStructure"": ""Mandible"", ""output_folder"": ""/output""}","{""inputVolume"": ""/vol.nii.gz"", ""modelDirectory"": ""/weights/amasss"", ""skullStructure"": ""Mandible"", ""output_folder"": ""/output""}","{""inputVolume"": ""/vol.nii.gz"", ""modelDirectory"": ""/weights/amasss"", ""skullStructure"": ""Mandible"", ""output_folder"": ""/output""}",1.0,False,Extra: modelDirectory
short,4,Register T1 /data/T1 with T2 /data/T2 using MAND type to /reg_out.,areg_cbct,areg_cbct,True,"{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/reg_out""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/reg_out""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAND"", ""output_folder"": ""/reg_out""}",1.0,True,
short,5,Align /T1.stl to /T2.stl with model /models/refine. Output to /aligned.,areg_ios,areg_ios,True,"{""T1"": ""/T1.stl"", ""T2"": ""/T2.stl"", ""model"": ""/models/refine"", ""output"": ""/aligned""}","{""T1"": ""/T1.stl"", ""T2"": ""/T2.stl"", ""model"": ""/models/refine"", ""output"": ""/aligned""}","{""T1"": ""/T1.stl"", ""T2"": ""/T2.stl"", ""output"": ""/aligned"", ""model"": ""/models/refine""}",1.0,True,
short,6,Crop volumes in /raw using /meta/roi.json. Save results to /cropped.,autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/raw"", ""path_ROI_file"": ""/meta/roi.json"", ""output_path"": ""/cropped""}","{""scan_files_path"": ""/raw"", ""path_ROI_file"": ""/meta/roi.json"", ""output_path"": ""/cropped""}","{""scan_files_path"": ""/raw"", ""path_ROI_file"": ""/meta/roi.json"", ""output_path"": ""/cropped""}",1.0,True,
short,7,Apply /mats/m.txt to /scans/p.nii.gz with ref /ref.nii.gz to /out.,automatrix,automatrix,True,"{""input_patient"": ""/scans/p.nii.gz"", ""input_matrix"": ""/mats/m.txt"", ""reference_file"": ""/ref.nii.gz"", ""output_folder"": ""/out""}","{""input_patient"": ""/scans/p.nii.gz"", ""input_matrix"": ""/mats/m.txt"", ""reference_file"": ""/ref.nii.gz"", ""output_folder"": ""/out""}","{""input_patient"": ""/scans/p.nii.gz"", ""input_matrix"": ""/mats/m.txt"", ""reference_file"": ""/ref.nii.gz"", ""output_folder"": ""/out""}",1.0,True,
short,8,Batch segment /all_scans with /models/nnunet. Save to /masks_out.,batchdentalseg,batchdentalseg,True,"{""input_folder"": ""/all_scans"", ""models_folder"": ""/models/nnunet"", ""output_folder"": ""/masks_out""}","{""input_folder"": ""/all_scans"", ""models_folder"": ""/models/nnunet"", ""output_folder"": ""/masks_out""}","{""input_folder"": ""/all_scans"", ""output_folder"": ""/masks_out"", ""models_folder"": ""/models/nnunet""}",1.0,True,
short,9,Run CLIC on /patients with /models/clic_v1. Output to /masks.,clic,clic,True,"{""input_path"": ""/patients"", ""model_folder"": ""/models/clic_v1"", ""output_dir"": ""/masks""}","{""input_path"": ""/patients"", ""model_folder"": ""/models/clic_v1"", ""output_dir"": ""/masks""}","{""input_path"": ""/patients"", ""model_folder"": ""/models/clic_v1"", ""output_dir"": ""/masks""}",1.0,True,
short,10,Classify meshes in /meshes with resnet and 3 classes to /analysis.,docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/meshes"", ""nn"": ""resnet"", ""num_classes"": 3, ""output_dir"": ""/analysis""}","{""input_dir"": ""/meshes"", ""nn"": ""resnet"", ""num_classes"": 3, ""output_dir"": ""/analysis""}","{""input_dir"": ""/meshes"", ""output_dir"": ""/analysis"", ""nn"": ""resnet"", ""num_classes"": 3}",1.0,True,
