category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
expert vocab,1,Execute automated cephalometric landmark identification on high-resolution CBCT volumetric datasets located in /data/volumetric_scans. Implement the specialized neural architectures residing in /opt/models/cephalometric_v4. Output the coordinate vectors to /results/landmarks and utilize /tmp/proc for transient histogram equalization data. Note: Input imagery is in NIfTI format.,ali_cbct,ali_cbct,True,"{""input"": ""/data/volumetric_scans"", ""dir_models"": ""/opt/models/cephalometric_v4"", ""lm_type"": ""1,2,3,4,5"", ""output_dir"": ""/results/landmarks"", ""temp_fold"": ""/tmp/proc"", ""DCMInput"": false}","{""input"": ""/data/volumetric_scans"", ""dir_models"": ""/opt/models/cephalometric_v4"", ""output_dir"": ""/results/landmarks"", ""temp_fold"": ""/tmp/proc"", ""DCMInput"": false}","{""input"": ""/data/volumetric_scans"", ""dir_models"": ""/opt/models/cephalometric_v4"", ""output_dir"": ""/results/landmarks"", ""temp_fold"": ""/tmp/proc"", ""DCMInput"": false}",0.833,False,Missing: lm_type
expert vocab,2,Perform precise odontometric landmark extraction on the intraoral surface mesh at /clinical/scans/maxillary_arch.stl. Targeted landmarks include 'cusp_tip' and 'central_fossa' for FDI tooth positions 11 and 21. Deploy models from /weights/ios_v2 and export findings to /analysis/metrics. Append telemetry to /analysis/logs/ali_ios.log.,ali_ios,ali_ios,True,"{""input"": ""/clinical/scans/maxillary_arch.stl"", ""dir_models"": ""/weights/ios_v2"", ""lm_type"": ""cusp_tip central_fossa"", ""teeth"": ""11 21"", ""output_dir"": ""/analysis/metrics"", ""log_path"": ""/analysis/logs/ali_ios.log""}","{""input"": ""/clinical/scans/maxillary_arch.stl"", ""dir_models"": ""/weights/ios_v2"", ""lm_type"": ""cusp_tip central_fossa"", ""teeth"": ""11 21"", ""output_dir"": ""/analysis/metrics"", ""log_path"": ""/analysis/logs/ali_ios.log""}","{""input"": ""/clinical/scans/maxillary_arch.stl"", ""dir_models"": ""/weights/ios_v2"", ""lm_type"": [""cusp_tip"", ""central_fossa""], ""teeth"": [""11"", ""21""], ""output_dir"": ""/analysis/metrics"", ""log_path"": ""/analysis/logs/ali_ios.log""}",0.667,False,"'lm_type': expected 'cusp_tip central_fossa', got ['cusp_tip', 'central_fossa']; 'teeth': expected '11 21', got ['11', '21']"
expert vocab,3,"Initiate deep-learning-based anatomical segmentation on the CBCT cohort in /research/cohort_A. Targeted structures: 'Mandible, Maxilla, Cranial_Base'. Utilize nnUNet checkpoints in /models/segmentation/amasss. Redirect masks to /output/segmentation and establish a diagnostic log at /output/segmentation/process.log.",amasss_cli,amasss_cli,True,"{""inputVolume"": ""/research/cohort_A"", ""modelDirectory"": ""/models/segmentation/amasss"", ""skullStructure"": ""Mandible, Maxilla, Cranial_Base"", ""output_folder"": ""/output/segmentation"", ""temp_fold"": ""/output/segmentation/process.log""}","{""inputVolume"": ""/research/cohort_A"", ""modelDirectory"": ""/models/segmentation/amasss"", ""skullStructure"": ""Mandible, Maxilla, Cranial_Base"", ""output_folder"": ""/output/segmentation"", ""temp_fold"": ""/output/segmentation/process.log""}","{""inputVolume"": ""/research/cohort_A"", ""modelDirectory"": ""/models/segmentation/amasss"", ""skullStructure"": ""Mandible, Maxilla, Cranial_Base"", ""output_folder"": ""/output/segmentation"", ""temp_fold"": ""/output/segmentation/process.log""}",1.0,True,
expert vocab,4,Execute voxel-based rigid registration of longitudinal CBCT datasets. Baseline (T1) is located in /data/T1; follow-up (T2) is in /data/T2. Specify 'MAX' registration protocol. Persist the aligned volumes and transformation matrices to /results/registration and use /tmp/reg for intermediary caching. Format: Non-DICOM.,areg_cbct,areg_cbct,True,"{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAX"", ""output_folder"": ""/results/registration"", ""DCMInput"": false, ""temp_folder"": ""/tmp/reg""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAX"", ""output_folder"": ""/results/registration"", ""DCMInput"": false, ""temp_folder"": ""/tmp/reg""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""reg_type"": ""MAX"", ""output_folder"": ""/results/registration"", ""DCMInput"": false, ""temp_folder"": ""/tmp/reg""}",1.0,True,
expert vocab,5,Implement surface-to-surface ICP registration for sequential intraoral scans stored in /ios/T1 and /ios/T2. Leverage the segmentation-refinement neural network at /models/ios/refine_net for enhanced alignment precision. Output registered meshes to /ios/aligned and document convergence metrics in /ios/aligned/registration.log.,areg_ios,areg_ios,True,"{""T1"": ""/ios/T1"", ""T2"": ""/ios/T2"", ""output"": ""/ios/aligned"", ""model"": ""/models/ios/refine_net"", ""log_path"": ""/ios/aligned/registration.log"", ""areg_mode"": ""Auto_IOS""}","{""T1"": ""/ios/T1"", ""T2"": ""/ios/T2"", ""output"": ""/ios/aligned"", ""model"": ""/models/ios/refine_net"", ""log_path"": ""/ios/aligned/registration.log""}","{""T1"": ""/ios/T1"", ""T2"": ""/ios/T2"", ""output"": ""/ios/aligned"", ""model"": ""/models/ios/refine_net"", ""log_path"": ""/ios/aligned/registration.log""}",0.833,False,Missing: areg_mode
expert vocab,6,Perform automated spatial cropping of volumetric scans in /archive/full_volumes based on region-of-interest markers defined in /archive/markers/roi.mrk.json. Preserve physical coordinate box scaling. Export truncated volumes to /archive/roi_crops and log the clipping coordinates to /archive/roi_crops/crop_metrics.log.,autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/archive/full_volumes"", ""path_ROI_file"": ""/archive/markers/roi.mrk.json"", ""output_path"": ""/archive/roi_crops"", ""box_Size"": true, ""logPath"": ""/archive/roi_crops/crop_metrics.log""}","{""scan_files_path"": ""/archive/full_volumes"", ""path_ROI_file"": ""/archive/markers/roi.mrk.json"", ""output_path"": ""/archive/roi_crops"", ""box_Size"": true, ""logPath"": ""/archive/roi_crops/crop_metrics.log""}","{""scan_files_path"": ""/archive/full_volumes"", ""path_ROI_file"": ""/archive/markers/roi.mrk.json"", ""output_path"": ""/archive/roi_crops"", ""box_Size"": true, ""logPath"": ""/archive/roi_crops/crop_metrics.log""}",1.0,True,
expert vocab,7,Apply composite rigid transformation matrices from /transformations/matrices to the patient volume at /patients/P001/volume.nii.gz. Reference spatial domain: /reference/atlas_v3.nii.gz. Target directory: /patients/P001/aligned. Record the spatial mapping in /patients/P001/aligned/matrix_application.log.,automatrix,automatrix,True,"{""input_patient"": ""/patients/P001/volume.nii.gz"", ""input_matrix"": ""/transformations/matrices"", ""reference_file"": ""/reference/atlas_v3.nii.gz"", ""fromAreg"": false, ""output_folder"": ""/patients/P001/aligned"", ""log_path"": ""/patients/P001/aligned/matrix_application.log"", ""is_seg"": false}","{""input_patient"": ""/patients/P001/volume.nii.gz"", ""input_matrix"": ""/transformations/matrices"", ""reference_file"": ""/reference/atlas_v3.nii.gz"", ""output_folder"": ""/patients/P001/aligned"", ""log_path"": ""/patients/P001/aligned/matrix_application.log""}","{""input_patient"": ""/patients/P001/volume.nii.gz"", ""input_matrix"": ""/transformations/matrices"", ""reference_file"": ""/reference/atlas_v3.nii.gz"", ""output_folder"": ""/patients/P001/aligned"", ""log_path"": ""/patients/P001/aligned/matrix_application.log""}",0.714,False,Missing: fromAreg; Missing: is_seg
expert vocab,8,"Deploy the nnUNet-based dental segmentation pipeline on the CBCT repository at /scans/raw_cbct. Utilize the weight configurations in /opt/nnunet/models/dental_seg. Store resulting multi-label segmentations (teeth, cortical bone) in /scans/segmented and maintain a runtime log at /scans/segmented/batch_execution.log.",batchdentalseg,batchdentalseg,True,"{""input_folder"": ""/scans/raw_cbct"", ""output_folder"": ""/scans/segmented"", ""models_folder"": ""/opt/nnunet/models/dental_seg"", ""log_path"": ""/scans/segmented/batch_execution.log""}","{""input_folder"": ""/scans/raw_cbct"", ""models_folder"": ""/opt/nnunet/models/dental_seg"", ""output_folder"": ""/scans/segmented"", ""log_path"": ""/scans/segmented/batch_execution.log""}","{""input_folder"": ""/scans/raw_cbct"", ""output_folder"": ""/scans/segmented"", ""models_folder"": ""/opt/nnunet/models/dental_seg"", ""log_path"": ""/scans/segmented/batch_execution.log""}",1.0,True,
expert vocab,9,Execute instance segmentation using the Mask R-CNN architecture on CBCT scans within /clinical/dataset. Model parameters are localized in /models/mask_rcnn_clic. Save the inferred instance masks to /clinical/segmentation_results.,clic,clic,True,"{""input_path"": ""/clinical/dataset"", ""model_folder"": ""/models/mask_rcnn_clic"", ""output_dir"": ""/clinical/segmentation_results""}","{""input_path"": ""/clinical/dataset"", ""model_folder"": ""/models/mask_rcnn_clic"", ""output_dir"": ""/clinical/segmentation_results""}","{""input_path"": ""/clinical/dataset"", ""model_folder"": ""/models/mask_rcnn_clic"", ""output_dir"": ""/clinical/segmentation_results""}",1.0,True,
expert vocab,10,Conduct morphometric shape analysis and classification on the surface mesh library in /morphology/meshes. Task: 'classification' using a 'resnet' backbone with 3 discrete classes. Models: 'ShapeAXI_V1'. Save results to /morphology/analysis and log metrics to /morphology/analysis/shape.log.,docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/morphology/meshes"", ""output_dir"": ""/morphology/analysis"", ""data_type"": ""mesh"", ""task"": ""classification"", ""model"": ""ShapeAXI_V1"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/morphology/analysis/shape.log""}","{""input_dir"": ""/morphology/meshes"", ""task"": ""classification"", ""nn"": ""resnet"", ""num_classes"": 3, ""model"": ""ShapeAXI_V1"", ""output_dir"": ""/morphology/analysis"", ""log_path"": ""/morphology/analysis/shape.log""}","{""input_dir"": ""/morphology/meshes"", ""output_dir"": ""/morphology/analysis"", ""task"": ""classification"", ""model"": ""ShapeAXI_V1"", ""nn"": ""resnet"", ""num_classes"": 3, ""log_path"": ""/morphology/analysis/shape.log""}",0.875,False,Missing: data_type
