category,index,query,expected_tool,predicted_tool,tool_correct,expected_params,predicted_params_raw,predicted_params_converted,param_accuracy,params_perfect,param_errors
missingparam,1,"Identify landmarks on the CBCT scans in /data/scans and save them to /output, but I haven't specified the model directory.",ali_cbct,ali_cbct,True,"{""input"": ""/data/scans"", ""dir_models"": ""MISSING"", ""output_dir"": ""/output"", ""DCMInput"": false}","{""input"": ""/data/scans"", ""output_dir"": ""/output""}","{""input"": ""/data/scans"", ""output_dir"": ""/output""}",0.5,False,Missing: dir_models; Missing: DCMInput
missingparam,2,Extract landmarks from /scans/ios.stl for teeth 8 and 9. Where should I put the output?,ali_ios,ali_ios,True,"{""input"": ""/scans/ios.stl"", ""teeth"": ""8 9"", ""output_dir"": ""MISSING"", ""dir_models"": ""/models/default_ios""}","{""input"": ""/scans/ios.stl"", ""teeth"": ""8 9""}","{""input"": ""/scans/ios.stl"", ""teeth"": [""8"", ""9""]}",0.25,False,"'teeth': expected '8 9', got ['8', '9']; Missing: output_dir; Missing: dir_models"
missingparam,3,Run the jaw segmentation on /data/vol.nii.gz using the models in /models/nnunet.,amasss_cli,amasss_cli,True,"{""inputVolume"": ""/data/vol.nii.gz"", ""modelDirectory"": ""/models/nnunet"", ""skullStructure"": ""MISSING"", ""output_folder"": ""/results""}","{""inputVolume"": ""/data/vol.nii.gz"", ""modelDirectory"": ""/models/nnunet""}","{""inputVolume"": ""/data/vol.nii.gz"", ""modelDirectory"": ""/models/nnunet""}",0.5,False,Missing: skullStructure; Missing: output_folder
missingparam,4,"Register the T1 scans in /data/T1 and T2 in /data/T2. I want the results in /registered, but which alignment type should I use?",areg_cbct,areg_cbct,True,"{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""output_folder"": ""/registered"", ""reg_type"": ""MISSING""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""output_folder"": ""/registered""}","{""t1_folder"": ""/data/T1"", ""t2_folder"": ""/data/T2"", ""output_folder"": ""/registered""}",0.75,False,Missing: reg_type
missingparam,5,Align the dental mesh /T1.obj with the target /T2.obj using the refine model in /models/ref.,areg_ios,areg_ios,True,"{""T1"": ""/T1.obj"", ""T2"": ""/T2.obj"", ""model"": ""/models/ref"", ""output"": ""MISSING""}","{""T1"": ""/T1.obj"", ""T2"": ""/T2.obj"", ""model"": ""/models/ref""}","{""T1"": ""/T1.obj"", ""T2"": ""/T2.obj"", ""model"": ""/models/ref""}",0.75,False,Missing: output
missingparam,6,Crop the volumes in /data/raw and save them to /data/cropped. I forgot to provide the ROI marker file.,autocrop3d,autocrop3d,True,"{""scan_files_path"": ""/data/raw"", ""output_path"": ""/data/cropped"", ""path_ROI_file"": ""MISSING""}","{""scan_files_path"": ""/data/raw"", ""output_path"": ""/data/cropped""}","{""scan_files_path"": ""/data/raw"", ""output_path"": ""/data/cropped""}",0.667,False,Missing: path_ROI_file
missingparam,7,"Apply the matrices from /transforms to the patient file /pat.nii.gz, but I didn't provide a reference file.",automatrix,automatrix,True,"{""input_patient"": ""/pat.nii.gz"", ""input_matrix"": ""/transforms"", ""reference_file"": ""MISSING""}","{""input_patient"": ""/pat.nii.gz"", ""input_matrix"": ""/transforms""}","{""input_patient"": ""/pat.nii.gz"", ""input_matrix"": ""/transforms""}",0.667,False,Missing: reference_file
missingparam,8,Start the batch segmentation for the scans in /inbox/scans. Use the weights in /weights/dental.,batchdentalseg,batchdentalseg,True,"{""input_folder"": ""/inbox/scans"", ""models_folder"": ""/weights/dental"", ""output_folder"": ""MISSING""}","{""input_folder"": ""/inbox/scans"", ""models_folder"": ""/weights/dental""}","{""input_folder"": ""/inbox/scans"", ""models_folder"": ""/weights/dental""}",0.667,False,Missing: output_folder
missingparam,9,Run CLIC segmentation for the patient data in /data/patients. I have the output folder /results ready.,clic,clic,True,"{""input_path"": ""/data/patients"", ""output_dir"": ""/results"", ""model_folder"": ""MISSING""}","{""input_path"": ""/data/patients"", ""output_dir"": ""/results""}","{""input_path"": ""/data/patients"", ""output_dir"": ""/results""}",0.667,False,Missing: model_folder
missingparam,10,Classify the meshes in /data/meshes using the ResNet architecture and 3 classes. I didn't specify the output directory.,docshapeaxi,docshapeaxi,True,"{""input_dir"": ""/data/meshes"", ""nn"": ""resnet"", ""num_classes"": 3, ""output_dir"": ""MISSING""}","{""input_dir"": ""/data/meshes"", ""nn"": ""resnet"", ""num_classes"": 3, ""task"": ""classification""}","{""input_dir"": ""/data/meshes"", ""task"": ""classification"", ""nn"": ""resnet"", ""num_classes"": 3}",0.75,False,Missing: output_dir; Extra: task
missingparam,11,Apply flexible registration to the mesh /data/tooth.vtk. I want to use the 'butterfly' method.,flexreg,flexreg,True,"{""input_surface"": ""/data/tooth.vtk"", ""patch_type"": ""butterfly"", ""output_folder"": ""MISSING""}","{""input_surface"": ""/data/tooth.vtk"", ""patch_type"": ""butterfly""}","{""input_surface"": ""/data/tooth.vtk"", ""patch_type"": ""butterfly""}",0.667,False,Missing: output_folder
missingparam,12,Generate a clinical dashboard from the summaries in /data/summaries.,medx_dashboard,medx_dashboard,True,"{""summary_folder"": ""/data/summaries"", ""output_folder"": ""MISSING""}","{""summary_folder"": ""/data/summaries""}","{""summary_folder"": ""/data/summaries""}",0.5,False,Missing: output_folder
missingparam,13,Summarize the medical notes in /data/notes. Save the results to /data/output.,medx_summarize,medx_summarize,True,"{""input_notes"": ""/data/notes"", ""output_folder"": ""/data/output"", ""input_model"": ""MISSING""}","{""input_notes"": ""/data/notes"", ""output_folder"": ""/data/output""}","{""input_notes"": ""/data/notes"", ""output_folder"": ""/data/output""}",0.667,False,Missing: input_model
missingparam,14,Perform MRI to CBCT intensity approximation for the files in /data/mri. I have the output folder /data/results.,mri2cbct_approx,mri2cbct_approx,True,"{""mri_folder"": ""/data/mri"", ""output_folder"": ""/data/results"", ""cbct_folder"": ""MISSING""}","{""mri_folder"": ""/data/mri"", ""output_folder"": ""/data/results""}","{""mri_folder"": ""/data/mri"", ""output_folder"": ""/data/results""}",0.667,False,Missing: cbct_folder
missingparam,15,Align MRI sequences in /mri with CBCT volumes in /cbct. I have an output folder /aligned.,mri2cbct_reg,mri2cbct_reg,True,"{""mri_folder"": ""/mri"", ""cbct_folder"": ""/cbct"", ""output_folder"": ""/aligned"", ""cbct_label2"": ""MISSING""}","{""mri_folder"": ""/mri"", ""cbct_folder"": ""/cbct"", ""output_folder"": ""/aligned""}","{""output_folder"": ""/aligned"", ""mri_folder"": ""/mri"", ""cbct_folder"": ""/cbct""}",0.75,False,Missing: cbct_label2
missingparam,16,Crop the left and right sides of the CBCT in /cbct and MRI in /mri. Where should the cropped files go?,mri2cbct_lr_crop,mri2cbct_lr_crop,True,"{""input_folder_CBCT"": ""/cbct"", ""input_folder_MRI"": ""/mri"", ""output_folder"": ""MISSING""}","{""input_folder_CBCT"": ""/cbct"", ""input_folder_MRI"": ""/mri""}","{""input_folder_CBCT"": ""/cbct"", ""input_folder_MRI"": ""/mri""}",0.667,False,Missing: output_folder
missingparam,17,Reorient the raw MRI data in /raw_mri to /centered_mri. What direction matrix should I use?,mri2cbct_orient_center,mri2cbct_orient_center,True,"{""input_folder"": ""/raw_mri"", ""output_folder"": ""/centered_mri"", ""direction"": ""MISSING""}","{""input_folder"": ""/raw_mri"", ""output_folder"": ""/centered_mri""}","{""input_folder"": ""/raw_mri"", ""output_folder"": ""/centered_mri""}",0.667,False,Missing: direction
missingparam,18,"Resample all volumes in /data/raw to [256, 256, 128]. I have an output folder /resampled.",mri2cbct_resample,mri2cbct_resample,True,"{""input_folder_MRI"": ""/data/raw/MRI"", ""output_folder"": ""/resampled"", ""resample_size"": [256, 256, 128], ""spacing"": ""MISSING""}","{""input_folder_MRI"": ""/data/raw"", ""output_folder"": ""/resampled"", ""resample_size"": [256, 256, 128]}","{""input_folder_MRI"": ""/data/raw"", ""output_folder"": ""/resampled"", ""resample_size"": ""[256, 256, 128]""}",0.5,False,"'input_folder_MRI': expected '/data/raw/MRI', got '/data/raw'; Missing: spacing"
missingparam,19,Extract TMJ regions from CBCT /c and MRI /m using the models in /models/tmj.,mri2cbct_tmj_crop,mri2cbct_tmj_crop,True,"{""cbct_folder"": ""/c"", ""mri_folder"": ""/m"", ""model_folder"": ""/models/tmj"", ""seg_folder"": ""MISSING""}","{""cbct_folder"": ""/c"", ""mri_folder"": ""/m"", ""model_folder"": ""/models/tmj""}","{""cbct_folder"": ""/c"", ""mri_folder"": ""/m"", ""model_folder"": ""/models/tmj""}",0.75,False,Missing: seg_folder
missingparam,20,Prepare the CBCT scans in /data/raw for ASO orientation and save to /data/pre_aso. Which model should I use?,pre_aso_cbct,pre_aso_cbct,True,"{""input"": ""/data/raw"", ""output_folder"": ""/data/pre_aso"", ""model_folder"": ""MISSING""}","{""input"": ""/data/raw"", ""output_folder"": ""/data/pre_aso""}","{""input"": ""/data/raw"", ""output_folder"": ""/data/pre_aso""}",0.667,False,Missing: model_folder
missingparam,21,Standardize the IOS scan in /data/ios. Dents 8 and 9 are selected. Reference is /gold.,pre_aso_ios,pre_aso_ios,True,"{""input_folder"": ""/data/ios"", ""gold_folder"": ""/gold"", ""list_teeth"": ""8,9"", ""jaw"": ""MISSING""}","{""input_folder"": ""/data/ios"", ""gold_folder"": ""/gold"", ""list_teeth"": ""8,9""}","{""input_folder"": ""/data/ios"", ""gold_folder"": ""/gold"", ""list_teeth"": [""8"", ""9""]}",0.5,False,"'list_teeth': expected '8,9', got ['8', '9']; Missing: jaw"
missingparam,22,Orient the CBCT scans in /scans using the reference /gold. Landmarks are Sella and Nasion.,semi_aso_cbct,semi_aso_cbct,True,"{""input"": ""/scans"", ""gold_folder"": ""/gold"", ""list_landmark"": ""Sella Nasion"", ""output_folder"": ""MISSING""}","{""input"": ""/scans"", ""gold_folder"": ""/gold"", ""list_landmark"": ""Sella Nasion""}","{""input"": ""/scans"", ""gold_folder"": ""/gold"", ""list_landmark"": [""Sella"", ""Nasion""]}",0.5,False,"'list_landmark': expected 'Sella Nasion', got ['Sella', 'Nasion']; Missing: output_folder"
missingparam,23,Adjust the IOS orientation for the Upper jaw using /gold. Landmarks are Cusp and Fossa.,semi_aso_ios,semi_aso_ios,True,"{""input_folder"": ""/data/ios"", ""gold_folder"": ""/gold"", ""list_landmark"": ""Cusp,Fossa"", ""jaw"": ""Upper"", ""output_folder"": ""MISSING""}","{""gold_folder"": ""/gold"", ""jaw"": ""Upper"", ""list_landmark"": ""Cusp,Fossa""}","{""gold_folder"": ""/gold"", ""list_landmark"": [""Cusp"", ""Fossa""], ""jaw"": ""Upper""}",0.4,False,"Missing: input_folder; 'list_landmark': expected 'Cusp,Fossa', got ['Cusp', 'Fossa']; Missing: output_folder"
